Date,Open,High,Low,Close,Volume
2023-01-01,150.00,152.50,149.00,151.75,1000000
2023-01-02,151.75,153.00,150.50,152.25,1100000
2023-01-03,152.25,154.00,151.50,153.50,1200000
2023-01-04,153.50,155.00,152.75,154.25,1300000
2023-01-05,154.25,156.00,153.50,155.50,1400000
2023-01-06,155.50,157.00,154.75,156.25,1500000
2023-01-07,156.25,158.00,155.50,157.50,1600000
2023-01-08,157.50,159.00,156.75,158.25,1700000
2023-01-09,158.25,160.00,157.50,159.50,1800000
2023-01-10,159.50,161.00,158.75,160.25,1900000
2023-01-11,160.25,162.00,159.50,161.50,2000000
2023-01-12,161.50,163.00,160.75,162.25,2100000
2023-01-13,162.25,164.00,161.50,163.50,2200000
2023-01-14,163.50,165.00,162.75,164.25,2300000
2023-01-15,164.25,166.00,163.50,165.50,2400000
