Date,Open,High,Low,Close,Volume
2023-01-01,150.00,152.50,149.00,151.75,1000000
2023-01-02,151.75,153.00,150.50,152.25,1100000
2023-01-03,152.25,154.00,151.50,153.50,1200000
2023-01-04,153.50,155.00,152.75,154.25,1300000
2023-01-05,154.25,156.00,153.50,155.50,1400000
2023-01-06,155.50,157.00,154.75,156.25,1500000
2023-01-07,156.25,158.00,155.50,157.50,1600000
2023-01-08,157.50,159.00,156.75,158.25,1700000
2023-01-09,158.25,160.00,157.50,159.50,1800000
2023-01-10,159.50,161.00,158.75,160.25,1900000
2023-01-11,160.25,162.00,159.50,161.50,2000000
2023-01-12,161.50,163.00,160.75,162.25,2100000
2023-01-13,162.25,164.00,161.50,163.50,2200000
2023-01-14,163.50,165.00,162.75,164.25,2300000
2023-01-15,164.25,166.00,163.50,165.50,2400000
2023-01-16,165.50,167.25,164.75,166.75,2500000
2023-01-17,166.75,168.50,166.00,168.00,2600000
2023-01-18,168.00,169.75,167.25,169.25,2700000
2023-01-19,169.25,171.00,168.50,170.50,2800000
2023-01-20,170.50,172.25,169.75,171.75,2900000
2023-01-21,171.75,173.50,171.00,173.00,3000000
2023-01-22,173.00,174.75,172.25,174.25,3100000
2023-01-23,174.25,176.00,173.50,175.50,3200000
2023-01-24,175.50,177.25,174.75,176.75,3300000
2023-01-25,176.75,178.50,176.00,178.00,3400000
2023-01-26,178.00,179.75,177.25,179.25,3500000
2023-01-27,179.25,181.00,178.50,180.50,3600000
2023-01-28,180.50,182.25,179.75,181.75,3700000
2023-01-29,181.75,183.50,181.00,183.00,3800000
2023-01-30,183.00,184.75,182.25,184.25,3900000
2023-01-31,184.25,186.00,183.50,185.50,4000000
2023-02-01,185.50,187.25,184.75,186.75,4100000
2023-02-02,186.75,188.50,186.00,188.00,4200000
2023-02-03,188.00,189.75,187.25,189.25,4300000
2023-02-04,189.25,191.00,188.50,190.50,4400000
2023-02-05,190.50,192.25,189.75,191.75,4500000
2023-02-06,191.75,193.50,191.00,193.00,4600000
2023-02-07,193.00,194.75,192.25,194.25,4700000
2023-02-08,194.25,196.00,193.50,195.50,4800000
2023-02-09,195.50,197.25,194.75,196.75,4900000
2023-02-10,196.75,198.50,196.00,198.00,5000000
2023-02-11,198.00,199.75,197.25,199.25,5100000
2023-02-12,199.25,201.00,198.50,200.50,5200000
2023-02-13,200.50,202.25,199.75,201.75,5300000
2023-02-14,201.75,203.50,201.00,203.00,5400000
2023-02-15,203.00,204.75,202.25,204.25,5500000
2023-02-16,204.25,206.00,203.50,205.50,5600000
2023-02-17,205.50,207.25,204.75,206.75,5700000
2023-02-18,206.75,208.50,206.00,208.00,5800000
2023-02-19,208.00,209.75,207.25,209.25,5900000
2023-02-20,209.25,211.00,208.50,210.50,6000000
2023-02-21,210.50,212.25,209.75,211.75,6100000
2023-02-22,211.75,213.50,211.00,213.00,6200000
2023-02-23,213.00,214.75,212.25,214.25,6300000
2023-02-24,214.25,216.00,213.50,215.50,6400000
2023-02-25,215.50,217.25,214.75,216.75,6500000
2023-02-26,216.75,218.50,216.00,218.00,6600000
2023-02-27,218.00,219.75,217.25,219.25,6700000
2023-02-28,219.25,221.00,218.50,220.50,6800000
2023-03-01,220.50,222.25,219.75,221.75,6900000
2023-03-02,221.75,223.50,221.00,223.00,7000000
2023-03-03,223.00,224.75,222.25,224.25,7100000
2023-03-04,224.25,226.00,223.50,225.50,7200000
2023-03-05,225.50,227.25,224.75,226.75,7300000
2023-03-06,226.75,228.50,226.00,228.00,7400000
2023-03-07,228.00,229.75,227.25,229.25,7500000
2023-03-08,229.25,231.00,228.50,230.50,7600000
2023-03-09,230.50,232.25,229.75,231.75,7700000
2023-03-10,231.75,233.50,231.00,233.00,7800000
2023-03-11,233.00,234.75,232.25,234.25,7900000
2023-03-12,234.25,236.00,233.50,235.50,8000000
2023-03-13,235.50,237.25,234.75,236.75,8100000
2023-03-14,236.75,238.50,236.00,238.00,8200000
2023-03-15,238.00,239.75,237.25,239.25,8300000
2023-03-16,239.25,241.00,238.50,240.50,8400000
2023-03-17,240.50,242.25,239.75,241.75,8500000
2023-03-18,241.75,243.50,241.00,243.00,8600000
2023-03-19,243.00,244.75,242.25,244.25,8700000
2023-03-20,244.25,246.00,243.50,245.50,8800000
2023-03-21,245.50,247.25,244.75,246.75,8900000
2023-03-22,246.75,248.50,246.00,248.00,9000000
2023-03-23,248.00,249.75,247.25,249.25,9100000
2023-03-24,249.25,251.00,248.50,250.50,9200000
2023-03-25,250.50,252.25,249.75,251.75,9300000
2023-03-26,251.75,253.50,251.00,253.00,9400000
2023-03-27,253.00,254.75,252.25,254.25,9500000
2023-03-28,254.25,256.00,253.50,255.50,9600000
2023-03-29,255.50,257.25,254.75,256.75,9700000
2023-03-30,256.75,258.50,256.00,258.00,9800000
2023-03-31,258.00,259.75,257.25,259.25,9900000
